Indonesia,Madura
ayam itu bertengger diatas pagar,ajâm rowa ko'-nongko' èattassâ paghâr
orang ini jika dibiarkan semakin bersikap kurang ajar.,orèng rèya mon èpenneng sajân ko'-nongko'
tadi malam rumahnya tukang becak terbakar.,malemma roma tokang bèca' ketonon
"makan soto dengan ketupat, tidak mau dengan nasi","ngakan soto ngangghuy topa', ta' engâ' ngangghuy nasè'"
dikatakan kepada orang yang terperangah karena merasa terlambat segala usahanya atau tindakannya,"mara topèng kasèyangan "
laki dan perempua,lakè' tor binè'
tidak mengikuti perintah,lo' atoro' parènta
mengikuti kemanapun kaki melangkah,noro' sapalajhuna soko
tidak mau patuh,ta' ghellem atoro' oca'
menurutkan sekehendak hatinya,noro' karebbhâ dhibi'
ikut semuanya tanpa terkecuali,"noro' bi' koto tomana "
"jika hawa nafsu dituruti, akhirnya bisa mencelakakan diri sendiri, seharusnya melakukan apa saja harus hati-hati.","noro' atè matè, noro' mata buta "
silsilah raja Bangkalan,ron-tomoronna rato Bhângkalan
biarkan supaya jatuh.,torot ma'lè labu
ayamnya sudah tidak liar,ajâmma ella notot
burung ini jinak sekali.,mana' rèya cè' notoddhâ
duriannya cepat dipetik karena sudah banyak yang masak,dhurinna dhuli polong polana la bânnya' sè massa'
orang yang pulang ke tanah kelahirannya.,"trata ocol ka alas "
sudah jangan ramai-ramai,uwis jhâ' mè-rammè
sangat enak makan puding bercampur vla.,cè' nyamanna ngakan poḍéng ècampor vla
wah! kok pulang?,wa! mè' mole?
wah! kok dijatuhkan?,wa! mè' èpaghâgghâr?
"jika mengaku orang Islam, wajib melaksanakan shalat yang lima waktu.","mon ngako orèng Èslam, wâjib ngalampaaghi sholat sè lèmang bâkto"
ya saya segera akan pulang,yâ sèngko' pas molèa
" anak-anak yang telah datang?.","Na'-kana' sè la dâteng "
" ayah menulis surat.","eppa' nolès sorat "
" Saya membayar orang yang bekerja di sini  ","'Sèngko’ mâjâri orèng sè alako diya "
"   Membeli nasi goreng di warung,","Mellè nase' ghuring é barung    "
" Bekerja di kapal yang besar","Alako è kapal sè rajâ "
" Gunung dan sungai di pulau Madura?","Ghunong bân songay è polo Madura "
" keluarga saya yang banyak sekali","tang bhâlâ sè banyanya' parana "
" enam orang di dalam rumah  ","nem orèng è dalam bengko "
" lima lembar kain.","lema lembar kaèn "
" telur sepuluh butir","telor sapolo megghi' "
" air panas dan dingin  ","aèng panas bân cellep "
" air panas yang keluar dari dalam tanah","aèng panas sè kalowar dâri dalâm tana "
" garam dari Madura yang dibuat di Kalianget'","bujâ dari Madura sè ekaghâbây neng è Kalianget "
" keluarganya saya yang banyak?","Bhâlâna sèngko’ sè bânnya’ "
" Keluarganya Ali yang banyak sekali","Bhâlâna Ali bânnya’ parana "
"     Siapa yang mengambil pensil itu?","Sapa sè ngala' po'lot reya? "
" Siapa yang dapat memetik mangga itu??","Sapa sè bisa molong pao arowa "
"Orang itu mencari siapa di situ?  ","orèng rowa nyarè sapa è dissa' ? "
"   Guru itu memukul siapa kemarin?  ","Ghuru rowa mokol sapa bâ'âri'?    "
"  Menjadi apa ayahmu sekarang","Dâddhi apa eppa'na bâ'na Sateya? "
" `Apa saja yang hilang? ","Apa bhâi sè èlang "
" Apa yang dimakan kucing itu??","Apa sè èkakan kocèng rowa? "
" Akan dibelikan apa oleh ayahmu??","e mellèyagiyâ apa ban eppa'na bâ'na? "
" Naik apa kamu ke Pabian??","Nompa' apa bâ'na ka Pabiân? "
Mengirim apa kamu kemarin ke Saleh??,"Ngèrèm apa bâ'na bâ'âri' ke Saleh? "
" Apa boleh saya pergi ke sini?  ","Apa ollè sèngko' èntar da' enja? "
" Apa sudah lama kamu ada di sini??","Apa la abit bâ’na bâdâ neg è diya? "
" Apa kamu sudah mendengar kabar??","Apa bâ’na la ngeding kabhâr?. "
" Apa yang akan dibuang ke sini?,","Apa sè èbuwanga dâ' enja? "
"   Naik apa kamu pergi ke Sampang?","Nompak apa bâ’na èntar ke Sampang? "
" Bekerja apa kamu?  ","Alako apa bâ’na ? "
" Berapa yang sudah menempati rumah ini?","Barampa sè la ngennengngè bengko rèya? "
" Berapa yang waktu ini kebetulan ada di sini?  ","Barampa sè bâkto Jârèya kabhenderran pada neng è diya? "
" Berapa yang akan dijual?","Berampa sè è juwala? "
" Kamu akan minta berapa","Bâ’na menta'a barampa? "
" Akan dibelikan berapa oleh ayahmu?","Emellèyaghiya barampa ban eppa'na bâ’na? "
"   Yang datang mendapat hadiah.","se datang ollè hadiah, "
"   orang yang datang  ","orèng sè datang "
"   Saya mengurus yang diperlukan.  ","Sèngko’ ngoros sè ekaparlo, "
"  Maksud saya yang akan meneruskan sekolah.","tang maksod sè terrosa a sakola   "
" rumah itu  ","bengko rowa "
" itu uang saya","reya pèssèna sèngko’ "
"   itu baju saya","rowa tang kalambhi "
"   Siapa yang akan pergi","Sapa sè entara "
" Apa yang hilang?","Apa sè elang? "
" Adik di rumah  ","Ale' è bengko "
"   Orang dari Pamekasan  ","orèng dari Pamekasan "
"   bis ke Surabaya  ","bis ka Sorbaja "
" Ibu dengan anaknya  ","embu' kalaban ana'na "
" buku milik saya","buku sè segko' "
" pengumuman yang Unbra","Pangomoman sè Unbra "
" burung yang terbang","Mano' sè ngabbher  "
" anak-anak yang bersekolah  ","na'-kana' sè asekola "
" baju yang lama  ","kalambhi sè laju "
"   kue yang enak","Jhajhan sè nyaman "
" pensil yang tiga","po'lot sè tatello' "
" Kakak yang dari Jogja","kaka' sè dari Jogja "
" Bibi yang ke Surabaya","Bhibbhi' sè ka Sorbaja "
"   uang yang kemarin?","pèssè sè bâ’âri’ "
"   cara yang dulu  ","cara sè sabbhânna "
" Banjir yang besar kemarin itu telah surut.","Banjir sè rajâ bâ’âri’ rowa ella sorot "
"   Bis itu lewat di jembatan yang sedang dibangun.","Bis rowa lebat è galadak sè prappa'na è paddhek. "
" Perahu kayu itu telah rusak.","Parao kaju rowa ella rosak. "
"   Lapangan rumput yang luas itu dipakai untuk olahraga.","Lapangan rebbha sè lebar rowa eyangghuy olahraga. "
" Pedagang yang datang tadi itu menjual obat.","Dagang sè dâteng ghi' bhuru rowa ajhual obhât "
"   Saya dan adiix saya akan pergi ke Sumenep.","Sèngko’ ban tang ale' bhakal entara ka Sumenep. "
"   Temanmu pegawai di kantor Kecamatan.","Kancana bâ’na ponggaba è kantor kacamatan. "
"   Dia orang yang tidak mau menurut.","Dhibi'na orèng sè ta' enda' norot.  "
" Paman saya membeli rumah di Kalianget","Tang anom mellè bengko è Kalianget. "
"   Kucing Ali makan tikus besar.","Kocengnga Ali ngakan tekos rajâ. "
" Kakak saya ingin jadi dokter.","Tang kakak dhâddhiya dokter. "
" Jalal menjadi murid yang amat pandai","Jalal dhâddhi moret sè talebât penter. "
" Ini merupakan masalah yang rumit.","Reya aropa'aghi hal sè malarat. "
" Presiden akan mengangkat dia menjadi menteri.","Presiden bakal ngangkada dhibi'na dhâddhi menteri. "
" Pak guru menganggap Sutran murid yang bodoh","Bapak Ghuru ngangghep Sutran moret sè bhudhu. "
" Ibu membeli baju untuk adik saya","Ebhu mellè kalambhi kaangghuy tang ale'. "
" Saya menyesal atas perbuatanmu.","Sèngko’ kasta da' kalakoanna bâ’na. "
" Hamid memberi temannya lima buku,","Hamid aberri' kancana buku lalema'. "
" Siti membelikan saya baju yang baik?","Siti mellèyaghi sèngko’ kalambhi sè bhâghuss. "
"   Terus raja mencari obat ke mana-mana.","Terros rato nyarè tambha ka ma-dimma.  "
" Si Patih tadi merasa iri.   ","Si papatè ghella' arassa iri "
" Beberapa orang sudah datang","Pan-barampan orèng ella datang. "
"   Masing-masing anak mendapat hadiah.","Tong-settongnga na'-kana' ollè hadiah. "
"   Jalal memukul adiknya  ","Jalal mokol ale'na "
" Ibu membelikan saya baju ini  ","Ebbhu' mellèyaghi sèngko’ kalambhi reya "
Kerjakanlah pekerjaan in?,"Lakonè lalakon Jârèya.     "
"   Pukullah cepat-cepat anjing tu?  ","Kol-pokol patè' rowa! "
" Saya berbicara kepada kamu  ","Sèngko’ ngoca' ka bâ’na  "
"   Orang itu mencari apa di sana??","orèng rowa nyarè apa è dissa "
"   Jalal berdiri dimana kemarin??","Jalal manjheng è dimma bâ’âri’? "
" Kamu sudah boleh mengerjakan.","Bâ’na ella ollè alakone "
" Saya mengerjakan pekerjaan saya sendiri.","Sèngko’ alakone lalakonna sèngko’ dhibi'. "
" Dia tidak tahu siapa itu","Dhibi'na ta' tao sapa Jârèya. "
" Saya memibeli buku untuk kamu.","Sèngko’ mellè buku kaangghuy bâ’na. "
" Sudah, jangan membelikan saya baju!","Ella jha' mellèyaghi sèngko’ kalambhi! "
" Dia datang dari sini.","Dhibi'na dâteng dari diya. "
" Saya pergi ke sekolah","Sèngko’ entar ka sakola'an. "
" Dia berjalan dengan temannya.","Dhibi'na ajhâlân moso kancana. "
" Sutran tidur sejak saya bekerja.","Sutran tedung sajjhaggha sèngko’ alalakon.  "
" perkaranya menjadi sulit.","Parkarana dhâddhi malarat "
" Adik saya menjadi guru.","Ale'na sèngko’ dhâddhi guru "
" Berjalan-jalan merupakan olahraga yang baik","lân-jhâlânan aropa'aghi olahraga sè bhâghus. "
" Saya membeli buku","Sèngko’ mellè buku. "
" Rumahnya sudah dibangun.","Bengkona la ekaghâbay. "
" Dia berjalan dengan temannya.","Dhibi'na ajha lan moso kancana "
" Ali tidur sejak saya bekerja.","Ali tedung sajjhaggha sèngko’ alalakon. "
" Adiknya menjadi Menteri","ale'na dhâddhi menteri. "
" Pemberianmu merupakan sesuatu yang saya butuhkan.","Baberri'na bâ’na aropa'aghi bhârâng sè ebhutowaghi bi' sèngko’. "
" mengambil uangnya bapak.","ngala' pèssèna eppa' "
" memukul anaknya tetangganya","mokol ana'na tatangghâna "
" membeli rumahnya adiknya","mellè romana ale'na "
" makan mangganya orang","ngakan paona orèng "
" berlari dengan menangis","aberka' kalabân nangès "
" tidur sampai tengah malam","Tedung sampe' tengnga malem "
" menari dan menyanyi","Atari bân anyanyi "
" menangis tetapi senang ","Nanges tape pèrak "
" Petani itu bekerja di sawah","Reng tan rowa alako è saba "
" Kereta api yang ditumpanginya meluncur cepat sekali.","Seppur sè etompa'e dhibi'na alalonce' santa'na. "
" Bhurung terbang itu tidak boleh ditangkap","Mano' ngabber rowa ta' ollè è pega' "
" Jangan mengganggu bayi tidur.","Ja' rok-ngerok baji' tedung "
" Mencuri itu perbuatan yang jahat.","Ngero' reya lalakon sè juba' "
" Berlari pagi-pagi membuat badan sehat.","Berka' ghu-lagghu andhâddhiyaghi bada segger. "
" Tukang batu menyelesaikan Pekerjaannya.","Tokang bato rowa parappa'na mamare lalakonna, "
" Kamu harus ikut ujian segera.","bâ’na kodu duli noro' ujian "
" Saya menyuruh bekerja cepat.","Sèngko’ terro alakowa ceppet. "
" Bayi itu tidak mau makan dan minum.","Bhaji' rowa ta' enda' ngakan bạn ngenom. "
" Pekerjaannya adalah menjaga bangunan.","Kalakowanna iya areya jhâghâ geddung. "
" Yang menjadi tanggung jawab saya adalah menyelesaikan soal keuangan.","Se dhâddhi tang tanggung jawab iya areya mamare perkara pèssè. "
" Ayah menyuruh Siddin menangkap ikan.","Eppa' nyoro Siddin mega' juko'. "
" Ketua panitia minta saya menghadiri pertemuan.","Katua panitiya menat sèngko’ adatengnge papangghiyan. "
" cantik seperti bidadari","raddhin akanta bidaddari "
" mengkilat sesudahnya digosok","ngennyer saellana ekosot "
" kering sebelumnya dijemur","kerreng sabellunna è jemmor "
" terang seperti bulan","terrang akanta bulan "
" Hasilnya memuaskan sekali","Hasella bhâghus parana "
Pakaian itu cukup besar,"Pangangguy reya cokup rajâ "
" Kalianget yang tidak begitu ramai.","Kalianget sè ta' pate ramme "
" Ombak yang besar.","Omba sè rajâ "
" Adik saya agak lemah.","Tang ale' aba' geddhur "
" Hujan kemarin itu sangat deras.","Ojhan sè bâ’âri’ rowa ce' derressa "
" Semua orang ingin menjadi kaya.","Sakabbinna orèng terro soghiya. "
" Dia rupanya sakit sekali.","Dhibi'na ropana sake' ongghuwan "
" Kamu telah membuat saya kecewa.","Bâ’na ella andaddiyaghi sèngko’ kaceba. "
" Saya tidak bisa membiarkan ayah sengsara.","Sèngko’ ta' bisa adina'aghi eppa' sangsara "
" Bau masakan itu membuat lapar.","Bauna massa'an rowa andaddiyaghi lapar "
" Kelakuannya menyebabkan susah.","Kalakowanna nyababbaghi sossa "
" dia bekerja dengan rajin","Dhibi'na alakokalaban bhajheng "
" pembicaraan itu berjalan lancar","Rarembangan rowa ajhâlân kalaban lancar "
" saya berdiam dirumah","sèngko’ enneng è bengko "
" dia pergi ke sekolah","dhibi'na entar ka sakola'an "
" gadis itu datang dari pasar","babine' rowa dâteng dari pasar "
" Ali mandi di sungai.","Ali mandi neng è songay "
" Sawahnya diberi air dari pengairan.","Sabana eyaengi dari pangairan "
" Saya memberi baju kepada adik saya.","Sèngko’ aberri' kalambhi ka ale'na "
" Di sini menjual gamping.","Ediya ajhual ghampen "
" Di sini menyediakan kursi sewaan.","E dinna' nyadiya'aghi korse sewa'an "
" Orang dari Sumenep itu akan kemari.","orèng dari Sumenep rowa bhakal da' enna'. "
" Sawah di sana itu akan dijual.","Saba è dhissa rowa ejhuala "
" Ibu ke pasar","Ebhu ka pasar. "
" Istrinya dari Bangkalan.","Bhinana dari Bangkalan "
" Saya ingin ke sana ","Sèngko’ terro da' essa'a. "
" Dịa berniat akan ke pasar.","Dbibi'na aneyat ka pasara "
" kayu enam lonjor.","kayu ennem lonjhur "
" telur sepuluh bïji.","tellor sapolo megghi' "
" empat ekor kerbau.","empa' bigghi kerbuy "
" Tiga butir telur yang saya beli","Tello Megghi' tello' sè ebelli moso sèngko’ "
" Lima puluh yang hilang","seket sè elang "
" Saya membeli beras lima gantang.","Sèngko’ mellè berras lema ghantang "
" Uang saya yang hanya lima rupiah.","Tang pèssè sè coma lema ropeya "
" Yang datang hanya sepuluh","Se dâteng coma sapolo "
" Gulanya dua kilo.","Gulana dua kilo "
" Saya mengambil tiga.","Sèngko’ ngula' tello'an "
" Semuanya harus memilih satu.","Kakabbhi kodu mele settong "
" Dari enam menjadi tujuh.","Dari ennem dâddhi petto' "
" Hitungannya sampai seratus","Etonganna sampe' saratos "
" Anaknya menjadi lima.","Ana'na dâddhi lema' "
" Perkakasnya tinggal beberapa.","Pakakassa kare barampa "
" Ibu membagi kue menjadi empat.","Ebu ngeres jajan dhâddhi empa' "
" Orang itu memecah batu menjadi dua.","orèng rowa mecca bato dâddhi duwa' "
" Kemarin sudah datang ?","bâ’âri’ dhibi'na dâteng "
" Saya datang pada dịa tadi","Sèngko’ entar ka dhibi'na ghella' "
" Mungkin dia datang.","Ngara dhibi'na dâteng "
" kamu harus mau mengerjakan pekerjaan ini","bâ’na kodhu enda' ngalakone kalakowan reya "
" Air itu cukup panas.","Aeng rowa cokop panas "
" Keluarga Ali banyak sekali.","Bhâlâna Ali bânnya’ parana "
" saya membeli nasi goreng di warung kemarin","sèngko’ mellè nase' ghuring neng è barung gella' "
" Rumahmu besar sekali.","Bengkona bâ’na rajâ parana "
" Lebah itu sering mengeluarkan madu.","Nyarowan rowa seggut ngalowarraghi maddhu "
" Rumah itu besar sekali.","Bengko rowa rajâ parana. "
" Bila sudah menjadi menantu raja.","Bila la dâddhi mantona rato. "
" Setiap harinya Salam pergi ke pasar","Sabbhan arena Salam entar ka pasar. "
" Adikmu datang di sini terlalu pagi.","Ale'na bâ’na dâteng da' enja lagghu gallu. "
" Orang itu terlalu sering masuk ke dalam rumah.","orèng rowa talebat segghut maso' ka dâlem bengko. "
" Kemarin pagi-pagi ibumu datang.","Bâ’âri’ ghu-lagghu è bhuna bâ’na dateng. "
" Jalal datang tergesa-gesa.","Jalal dâteng ru-kabhuru. "
" Pencuri itu lari lintang-pukang.","Maleng rowa bhuru tol-tapettol. "
" Kemarin sangat panas.","Bâ’âri’ talebat panas. "
" Nanti malam pasti aman.","Dagghi' malem maste aman "
" Meninggalnya sudah lama.","Matena ella lamba'. "
" panas dan dingin","panas ban cellep "
" makan nasi goreng atau minum es,","ngakan nase' ghuring otaba ngenom es "
" Saya telah datang","sèngko’ ella dâteng maskeya, "
" meskipun saya tidak punya uang.","sèngko’ ta' andi' pèssè "
" Adik saya ada di rumah karena sakit.","Tang ale' bada è bengko sabab sake' "
" Kalau kamu datang, saya harus keluar.","Mon bâ’na dateng, sèngko’ kodhu kalowar. "
" Ayah menulis surat sesudah kamu tidur","Eppa' nolès sorat saellana bâ’na la tedung "
" Saya ke sekolah meskipun hujan ","Sèngko’ ka sakola'an maskeya ojhan. "
" Rumah ini bersih dan baik.","Bengko Jârèya berse ban bhâghus. "
" Rumah itu besar tapi rusak.","Bengko rowa rajâ tape rosak. "
" Kamu atau saya harus pergi.","Bâ’na otaba sèngko’ kodhu mangkar. "
" Kalau dịa ingin pandai harus belajar.","Mon dhibi'na terro penterra maste ajhar. "
" Kalau tahu kamu harus datang","Mon tao bâ’na kodhu dateng. "
" Bhurungnya hilang karena keluar dari sangkarnya.","namo'na elang polana kalovoar dari korongnga. "
" Kamu tidak naik karena tidak belajar.","Bâ’na ta' ongga polana ta' ajhar "
" Sesudah makan saya pergi ke sekolah","Saellana ngakan sèngko’ entar ka sakola'an "
" Sesudah dạtang dia makan.","Saellana dâteng dhibi'na ngakan. "
" Sebelum tidur kamu harus belajar.","Sabellunna tedung bâ’na kodhu ajar. "
" Saya sudah datang sebelum ayah pergi.","Sèngko’ la dâteng sabellunna eppa' mangkat. "
" Saya tahu meskipun Ali tak datang","Sèngko’ tạo maskeya Ali ta' dateng. "
" Saya tidur dan kamu bangun.","Sèngko’ tedung ban bâ’na jhâghâ "
" Ayah akan pergi ke Sampang, tetapi ibu tinggal di rumah","Empa' ehtara ka Sampang tape ebhu bada è bengko, "
" Adik saya bekerja karena perlu uang.","ale'na sèngko’ alako polana parlo pèssè. "
" Saya pergi ke kantor meskipun sedang sakit.","Sèngko’ ka kantor maskeya ghi' sake'. "
" Orang yang mencuri sepeda saya.","orèng sè ngeco' tang sepeda. "
" Tanaman padi yang telah dirabuk.","Tanemman padi sè ta' ebhutok rebuk "
" Banyak bhurung terbang dan binatang berkeliaran",Bânnya’ mano' ngabbher ban kebhan ajar-galajar
" Orang mengamuk itu telah ditangkap.","orèng ngamo' rowa ella epega' "
" Tanah kering yang ditanami","Tana kerreng sè ta' etannemme "
" Jalan licin yang sangat berbahaya.","Jhâlân lecen sè talebat bhabhaya "
" Uang di dalam lemari itu","Pèssè è dâlem lemare rowa "
" Pekerjaan untuk sekarang","Lalakon kaangguy are teya "
" Minyak tanah dua liter.","Mennya' gas dukiter "
" Sabun seratus batang.","Sabun saratos lonjhur "
" Pekerjaan besar kemarin.","Lalakon rajâ bâ’âri’ "
" Pertemuan besok pagi tidak jadi.","Papangghiyan lagghu'na bhurung. "
" saya akan pergi jauh","Sèngko’ ajhâlânanna jhau "
" Bhurung itu terbang sangat tinggi.","Mano' rowa ngabbher talebat tengghi "
" Dua orang itu bekerja di Sampang.","Duwa' orèng rowa alalo è Sampang "
" Saya mendengar kabar dari saudaramu","Sèngko’ ngeding kabhar dari taretanna bâ’na. "
" Sekolah akan mulai besok pagi.","Sakola'an mola'na lagghu'. "
" Pekerjaannya hampir selesai ","Lalakonna para' mareya. "
" Kendaraan itu berjalan lima kali sehari.","Tatompa'an rowa ajhâlân lema kali saqare "
" Jamin mengikuti ujian dua kali.","Jamin noro' eksamen dukal "
" Kecil mungil tapi menyenangkan.","Kene' sentek tape nyennengngahgi "
" Cantik jelita dan menarik hati.","Raddhin koneng or ngapencote. "
" Hutangnya sangat banyak.","Otangnga telebat bânnya’ "
" Kamu terlalu takut.","Bâ’na talebat tako'. "
" Dia takut di dalam kamar.","Dibhi'na tako' è dâlem kamar. "
" Saya termasuk kecil di sini.","Sèngko’ tamaso' kene' è diya "
" rumahnya lima buah.","Bengkona lema megghi'. "
" Saya membeli sepuluh liter beras.","Sèngko’ mellè sapolo liter beras. "
" Tujuh puluh orang  di dalam kamar.","Pettong polo orèng è dâlem kamar. "
" Tiga ratus kambing mati.","Tello ratos embi' mate. "
Rumah dan dapur yang baru dibangun.,"Roma ban dapor sè bhuru ebhangon. "
" Bapak, ibu, dan anaknya naik perahu.","Eppa', ebbu, ban anasna nompa' parao. "
" Saya atau kamu bisa saja datang.","Senko' otaba bâ’na bisa bhai dateng, "
" Dia bukan guru tetapi murid.","Dhibi'na banne ghuru tape moret. "
" Membeli atau menyewa tidak menjadi soal.","mellè otaba nyewa taw dhâddhi soal. "
" Tidur dan makan saja kerjamu","Tedung ban ngakan bhai lakona bâ’na. "
" Kamu tidak belajar tapi bergurau.","Bâ’na ta' ajhar tape aghaja'. "
" Bekerja atau tidak bukan urusan saya,","Alako'a ta' alakowa banne orosanna sèngko’. "
" Orang yang bekerja itu haus dan lapar","orèng sè alako rowa pelka' tor lapar. "
" Badannya besar tetapi lemah.","Badanna rajâ tape geddhur. "
" Pandai atau bodoh dilayani seimbang","Penter otaba budhu elajjari satembhang. "
" Lembu-lembu dari Sumenep dan dari PaAmekasan baik untuk bibit.","Sape-sape dari Songenep ban dari Pamekkasann bhâghuss kaangghuy bhibhit. "
" Saleh tidak di Bangkalan tetapi di Sampang.","Saleh ta' neng è Bangkalan tape neng è Sampang. "
" Kamu dì luar atau di dalam bukan urusan saya.","8a'na è lowar otaba è dâlem banne tang orosan. "
" Dua belas dan tiga belas tidak banyak bedanya.","Dubellas ban tellobellas ta' bânnya’ bidhana. "
" Satu atau dua bagi saya sama saja.","Settong otaba daduwa' mongghu da' sèngko’ pada bhai. "
" Yang datang di pertemuan itu bukan seratus tetapi seratus lima puluh.","Se dâteng è papanggiyan rowa banne satos tape satos seket. "
" Akhmad datang ke sini kemarin dan sekarang.","Akhmad dâteng da' anja bâ’âri’ bạn sateya. "
" Kamu boleh berangkat sekarang atau nanti.","Bâ’na ollè mangkat sateya otaba dagghi' "
" Berangkatnya bukan dahulu tetapi baru saja.","Mangkaddhâ banne bilan tape bhuru bhai, "
" Ayah saya guru.","Eppa'na sèngko’ ghuru. "
" Bhurung itu hìnggap di dahan","Mano' rowa nengga' neng è ranca'. "
" Saya membeli baju baru.","Sèngko’ mellè kalambhi anyar. "
" Kambing itu makan daun-daunan.","Embi' rowa ngakan un-daunan. "
" Kamu memberi saya buku.","Bâ’na aberri' sèngko’ buku. "
" Bibi menjadi bidan di kota.","Bhibbhi' dhâddhi bidan è kotta. "
" Wereng adalah penyakit padi yang membahayakan.","Werreng iya areya pannyakeddha padi sè ambhabhajani. "
" Akhirnya dia menjadi mulia","Akhrerra dhibi'na dhâddhi molja. "
" Sekarang tanah itu menjadi subur","Sateya tana Jârèya dhaddhu landhu. "
" Kantornya di kota.",Kantorra è kota.
" Garam itu dari Sumenep.","Buja Jârèya dari Songennep. "
" Sawahnya lima hektar.","Sabana lema hektar. "
" Rumahnya beberapa biji","Romana pan-barampan biggi'. "
" Mencuri itu perbuatan yang tidak baik.","Ngeco' reya kalakowan sè ta' bhâghuss "
" Bertamasya itu menyenangkan hati.","Akalenjar Jârèya masenneng ate. "
" Mendengarkan musik membuat saya mengantuk.","Ngedingngaghi musik andâddhiyaghi sèngko’ nganto'. "
" Menari itu sulit.","Nari Jârèya malarat. "
Menyontek itu tidak baik.,"Neppa Jârèya ta' bhâghus "
" Bersih itu sesuatu yang menyenangkan.","Berse Jârèya barang sè nyennengngaghi. "
" Pandai berbeda dengan jujur","Penter bhidha kalabän Jhujhur. "
" Pandai itu tidak mudah.","Penter Jârèya ta' gampang. "
" Suci itu agung","Socce Jârèya aghung. "
" Panas menyengat dari matahari musim kemarau.","Panas ngella' dari are mosim nemor. "
" Damai di hatiku.","Renna è dâlem tang ate, "
" Sepuluh adalah angka genap","Sapolo lya areya ghanep. "
" Setengah adalah angka pecahan yang kecil","Satengnga reya angka pecca'an sè kene'. "
" Dua belas dapat dibagi menjadi tiga?","Dua bellas kenneng ebagi dhâddhi tello'. "
" Nol di belakang koma tidak adaartinya","Ennol è budina koma taḍâ’ artena. "
" Seratus sebelas sulit dibagi.","Saratos sabellas malarat ebagi. "
" Lima dan tiga mudah diingat.","Lema' ban tello' gampang ekenga'e. "
" Saya membeli dua buah buku.","Sèngko’ mellè dumegghi' buku. "
" Anak itu memanggil ibunya.","Kana' rowa ngolok ebhuna. "
Ayah membelikan adik sepeda.,"Eppa' meleleyaghi ale' sapeda. "
" Teman saya memberi saya uang.","Tang kanca aberri' sèngko’ pèssè. "
" Adiknya menjadi pegawai di Sumenep.","Ale'na dhâddhi ponggaba è Songennep. "
" Sepeda menjadi alat pengangkut penting di desa.","Sapeda dhâddhi alat pangangko' sè parlo è dhisa. "
" Pekerjaannya menjadi sulit.","Lalakonna dhâddhi malarat. "
" Pabriknya makin lama makin menjadi besar.","Pabbrigga sajan abit sajan dhâddhi rajâ. "
" Bukan saya tetapi dia","Banne sèngko’ tape dhibi'na. "
" Ayah atau ibu bisa menerima uang itu.","Eppa' otaba ebhu bisa narema pèssè rowa, "
" Ali tidak bekerja tetapi tidur.","Ali ta' alalakon tape tedung. "
" Banyak orang datang dan pulang","Bânnya’ orèng datang ban mole. "
" Bukan hitam tapi putih.","Banne celleng tapi pote. "
" Besar dan kecil harus dihitung,","rajâ ban kene' kodhu ebitong. "
Di sini atau di sana sama saja.,"E dinna' otaba è dhissa' pada bhai. "
" Pedagang itu tidak ke pasar, tetapi ke toko.","Dhaghang rowa ta' ka pasar, tape ka toko. "
" Kamu mendapat angka tiga dan dua.","Bâ’na ollè angka tello' ban duwa'. "
" Dia mendapat angka delapan atau sembilan.","Dhibi'na ollè angka ballu' otaba sanga'. "
" Sekarang atau nanti tidak ada bedanya.","Sateya otaba ḍâgghi taḍâ’ bhidhâna. "
" temanmu mungkin berangkat kemarin atau tadi.","Kancana bâ’na ngara mangkat bâ’âri’ otaba ghella'. "
" Di Kalianget banyak garam.","e kalianget bânnya’ buja. "
" Jalal pergi dengan kakaknya","Jalal ajalan kalaban kaka'na. "
" Dengan bekerja keras saya bisa berhasil.","Kalaban alako bherra' sèngko’ bisa a hasel. "
" Orang itu datang untuk bekerja di sini.","orèng rowa dâteng kaangguy alako è diya "
" Dari miskin ke kaya.","Dari mesken ka soghi. "
" Dengan mudah dia menjadi kaya.","Kalaban ghampang dibi'na dâddhi soghi. "
" angkanya naik dari tujuh ke delapan.","Angkana onggha dari petto' ka ballu'. "
" Sepuluh dibagi dengan dua hasilnya lima.","Sapolo ebagi kalaban duwa' dâddhi lema'. "
" Mesin itu sudah diminyaki.","Messin Jârèya ella eminnya'i. "
" Orang yang datang tadi sedang makan nasi goreng.","orèng sè dâteng ghella' gi' ngakan nase' ghuring. "
" Waktu saya sedang tidur, Tono datang.","Bâktona sèngko’ gi' tedung, Tono dâteng "
" Dia belajar supaya menjadi orang pandai.","Dhibi'na ajhar sopaja dhâddhi orèng penter. "
" Anak itu membeli nasi.","Kana' rowa mellè nase' "
" Orang itu dari desa.","orèng Jârèya dari dhisa. "
" Merokok itu merugikan.","Aroko' Jârèya marogian. "
" Orang itu pedagang.","orèng rowa dagang "
" Kakak saya ingin mengirimkan surat ini","Tang kaka' ngeremmaghiya sorat reya. "
" Orang ìtu mempunyai pekerjaan.",orèng rowa andi' lalakon.
" Ibu membuatkan saya baju.","Ebhu aghabha yaghi sèngko’ kalambhi "
" Dokter membuatkan Ali resep.","Dokter aghabhayyaghi Ali ressep. "
" Berjalan-jalan merupakan olahraga.","Lân-jhâlân a ropa'aglti olahraga  "
" Pemberiannya merupakan jimat.","Babarrei'na aropa'aghi jimat. "
" Perkaranya menjadi sulit.","Parkarana dhâddhi malarat. "
